date,location_lat,location_lon,daily_rainfall_mm,3_day_cumulative_rain,river_level_m,rate_of_rise,elevation_m,slope_degrees,distance_to_river_km,flood_occurred,flood_depth_m
10/21/2016,7.90318,80.04093,14.2,38.3,0.27,0.184,17.8,1.69,5.71,0,0
11/16/2016,7.90318,80.04093,0.4,6.6,0.54,-0.057,17.8,1.69,5.71,0,0
11/19/2016,7.90318,80.04093,1.7,7.7,0.98,-0.357,17.8,1.69,5.71,0,0
5/21/2017,7.90318,80.04093,5.7,17.5,0.24,-0.1,17.8,1.69,5.71,0,0
5/30/2017,7.90318,80.04093,9.5,30.3,1.01,-0.004,17.8,1.69,5.71,0,0
11/4/2017,7.90318,80.04093,0,2.2,0.42,-0.1,17.8,1.69,5.71,0,0
11/7/2017,7.90318,80.04093,114.7,316.6,4.4,1.701,17.8,1.69,5.71,1,2.14
11/12/2017,7.90318,80.04093,0,20.6,0.16,0.157,17.8,1.69,5.71,0,0
11/25/2017,7.90318,80.04093,0.3,5.5,0.27,-0.256,17.8,1.69,5.71,0,0
12/1/2017,7.90318,80.04093,0.1,3,0.48,-0.096,17.8,1.69,5.71,0,0
5/11/2018,7.90318,80.04093,10.9,33.1,1.01,0.065,17.8,1.69,5.71,0,0
10/5/2018,7.90318,80.04093,6.4,17.4,1.41,-0.172,17.8,1.69,5.71,0,0
12/12/2018,7.90318,80.04093,6.2,17.1,1.09,-0.102,17.8,1.69,5.71,0,0
12/16/2018,7.90318,80.04093,0.5,4.8,0.41,-0.064,17.8,1.69,5.71,0,0
12/24/2018,7.90318,80.04093,111,220.5,3.3,1.308,17.8,1.69,5.71,0,0
10/6/2019,7.90318,80.04093,3.9,40.6,0.88,0.152,17.8,1.69,5.71,0,0
10/26/2019,7.90318,80.04093,0,17.4,0.47,-0.102,17.8,1.69,5.71,0,0
10/29/2019,7.90318,80.04093,113.4,327.5,4.35,1.783,17.8,1.69,5.71,1,2.61
11/29/2019,7.90318,80.04093,0.5,5.8,0.41,-0.14,17.8,1.69,5.71,0,0
11/30/2019,7.90318,80.04093,73.7,186.1,2.25,0.938,17.8,1.69,5.71,0,0
10/4/2020,7.90318,80.04093,99,208.5,3.7,1.461,17.8,1.69,5.71,1,1.77
11/2/2020,7.90318,80.04093,201.5,510.7,6.3,2.3,17.8,1.69,5.71,1,3.46
12/12/2020,7.90318,80.04093,0,0.5,0.1,0.065,17.8,1.69,5.71,0,0
5/9/2021,7.90318,80.04093,0.2,0.5,0.43,-0.168,17.8,1.69,5.71,0,0
10/2/2021,7.90318,80.04093,29,80,0.95,0.252,17.8,1.69,5.71,1,0.29
10/26/2021,7.90318,80.04093,4.8,12.8,1.01,-0.107,17.8,1.69,5.71,0,0
12/24/2021,7.90318,80.04093,2.7,6.4,0.57,0.008,17.8,1.69,5.71,0,0
5/28/2022,7.90318,80.04093,88.9,234.7,3.74,1.22,17.8,1.69,5.71,0,0
10/3/2022,7.90318,80.04093,1.8,5.1,1.1,-0.181,17.8,1.69,5.71,0,0
10/19/2022,7.90318,80.04093,0.2,2.8,0.27,-0.259,17.8,1.69,5.71,0,0
10/31/2022,7.90318,80.04093,28.9,79.6,1.05,0.394,17.8,1.69,5.71,0,0
11/1/2022,7.90318,80.04093,8.6,27.3,0.92,0.004,17.8,1.69,5.71,0,0
11/11/2022,7.90318,80.04093,0.5,10.9,1.02,-0.111,17.8,1.69,5.71,0,0
11/13/2022,7.90318,80.04093,11.7,32.6,1.12,0.176,17.8,1.69,5.71,0,0
11/26/2022,7.90318,80.04093,1,2.9,0.28,-0.061,17.8,1.69,5.71,0,0
5/15/2023,7.90318,80.04093,2.4,6.9,0.74,-0.048,17.8,1.69,5.71,0,0
5/26/2023,7.90318,80.04093,0.8,8.1,0.64,-0.038,17.8,1.69,5.71,0,0
11/6/2023,7.90318,80.04093,0.7,4.4,0.38,-0.174,17.8,1.69,5.71,0,0
11/21/2023,7.90318,80.04093,18.5,42.2,0.92,0.117,17.8,1.69,5.71,0,0
11/26/2023,7.90318,80.04093,70.6,185.7,3.8,1.122,17.8,1.69,5.71,1,1.78
5/11/2024,7.90318,80.04093,2,6.4,0.38,-0.042,17.8,1.69,5.71,0,0
5/12/2024,7.90318,80.04093,11,25.4,1.04,0.1,17.8,1.69,5.71,0,0
11/8/2024,7.90318,80.04093,4.7,20.1,1.28,0.016,17.8,1.69,5.71,0,0
12/15/2024,7.90318,80.04093,14.7,45,0.64,0.26,17.8,1.69,5.71,0,0
10/9/2016,7.55651,81.3674,0.2,1.4,2.79,-0.088,35.3,2.38,0.06,0,0
10/21/2016,7.55651,81.3674,83.9,186.1,5.03,1.061,35.3,2.38,0.06,1,2.3
11/16/2016,7.55651,81.3674,20.7,48.5,3.74,0.18,35.3,2.38,0.06,0,0
11/19/2016,7.55651,81.3674,54.8,112.9,4.02,0.652,35.3,2.38,0.06,0,0
5/21/2017,7.55651,81.3674,4.4,10.1,2.74,-0.264,35.3,2.38,0.06,0,0
5/30/2017,7.55651,81.3674,154.8,399.8,7.6,2.3,35.3,2.38,0.06,1,3.55
11/4/2017,7.55651,81.3674,0.7,12.4,3.07,-0.205,35.3,2.38,0.06,0,0
11/7/2017,7.55651,81.3674,1.5,6.6,3.23,-0.116,35.3,2.38,0.06,0,0
11/12/2017,7.55651,81.3674,0,24.9,3.43,-0.113,35.3,2.38,0.06,0,0
11/25/2017,7.55651,81.3674,91.9,221.1,5.62,1.181,35.3,2.38,0.06,1,2.86
12/1/2017,7.55651,81.3674,0.6,3.1,3.02,-0.063,35.3,2.38,0.06,0,0
5/11/2018,7.55651,81.3674,1.8,9.5,3.05,-0.079,35.3,2.38,0.06,0,0
10/5/2018,7.55651,81.3674,3.5,22.5,2.87,0.29,35.3,2.38,0.06,0,0
12/12/2018,7.55651,81.3674,1.7,7.4,2.63,-0.016,35.3,2.38,0.06,0,0
12/16/2018,7.55651,81.3674,3.1,8.8,2.94,-0.024,35.3,2.38,0.06,0,0
12/24/2018,7.55651,81.3674,117,272.5,6.03,1.656,35.3,2.38,0.06,1,2.68
10/6/2019,7.55651,81.3674,9,23.7,3.6,0.003,35.3,2.38,0.06,0,0
10/26/2019,7.55651,81.3674,0.8,16.9,2.96,0.056,35.3,2.38,0.06,0,0
10/29/2019,7.55651,81.3674,1.7,17.2,3.89,-0.076,35.3,2.38,0.06,0,0
11/29/2019,7.55651,81.3674,135.6,427.9,7.49,2.3,35.3,2.38,0.06,1,3.8
11/30/2019,7.55651,81.3674,28.1,80.3,2.97,0.522,35.3,2.38,0.06,0,0
10/4/2020,7.55651,81.3674,2.4,8.1,2.78,-0.282,35.3,2.38,0.06,0,0
11/2/2020,7.55651,81.3674,1.8,5.3,2.84,-0.026,35.3,2.38,0.06,0,0
12/12/2020,7.55651,81.3674,0.3,15.5,3.21,-0.156,35.3,2.38,0.06,0,0
5/9/2021,7.55651,81.3674,5.5,12.5,3.23,0.262,35.3,2.38,0.06,0,0
10/2/2021,7.55651,81.3674,4.3,15.5,2.79,-0.156,35.3,2.38,0.06,0,0
10/26/2021,7.55651,81.3674,4.3,8.8,3.04,-0.179,35.3,2.38,0.06,0,0
12/24/2021,7.55651,81.3674,5.2,13.8,2.72,0.038,35.3,2.38,0.06,0,0
5/28/2022,7.55651,81.3674,5.3,12.2,3.44,-0.197,35.3,2.38,0.06,0,0
10/3/2022,7.55651,81.3674,0,2.6,2.45,0.025,35.3,2.38,0.06,0,0
10/19/2022,7.55651,81.3674,52.4,122.4,5.1,0.621,35.3,2.38,0.06,0,0
10/31/2022,7.55651,81.3674,11.3,30.9,3.44,-0.039,35.3,2.38,0.06,0,0
11/1/2022,7.55651,81.3674,4.2,11.2,3.69,0.175,35.3,2.38,0.06,0,0
11/11/2022,7.55651,81.3674,4.1,10.3,3.13,0.046,35.3,2.38,0.06,0,0
11/13/2022,7.55651,81.3674,3.1,7,2.63,-0.036,35.3,2.38,0.06,0,0
11/26/2022,7.55651,81.3674,13.6,38.6,4.23,0.061,35.3,2.38,0.06,0,0
5/15/2023,7.55651,81.3674,163.6,397.4,8.24,2.3,35.3,2.38,0.06,1,3.34
5/26/2023,7.55651,81.3674,1.5,4.7,3.11,-0.283,35.3,2.38,0.06,0,0
11/6/2023,7.55651,81.3674,3.9,11,3.36,0.134,35.3,2.38,0.06,0,0
11/21/2023,7.55651,81.3674,3.2,8.4,3.43,0.026,35.3,2.38,0.06,0,0
11/26/2023,7.55651,81.3674,0.2,10,2.46,-0.168,35.3,2.38,0.06,0,0
5/11/2024,7.55651,81.3674,0.3,11.1,2.71,0.032,35.3,2.38,0.06,0,0
5/12/2024,7.55651,81.3674,98.9,243.9,6.05,1.399,35.3,2.38,0.06,1,2.5
11/8/2024,7.55651,81.3674,2.4,7.8,3,-0.008,35.3,2.38,0.06,0,0
12/15/2024,7.55651,81.3674,121.2,303.4,6.39,1.914,35.3,2.38,0.06,1,2.93
10/9/2016,6.40565,80.84157,12.6,24.6,2.24,-0.067,8.2,0.16,5.82,0,0
10/21/2016,6.40565,80.84157,7.9,26.1,2.11,-0.005,8.2,0.16,5.82,0,0
11/16/2016,6.40565,80.84157,1.9,7.2,2.36,0.041,8.2,0.16,5.82,0,0
11/19/2016,6.40565,80.84157,0.1,4.4,2.29,0.007,8.2,0.16,5.82,0,0
5/21/2017,6.40565,80.84157,10,23.8,2.23,-0.018,8.2,0.16,5.82,0,0
5/30/2017,6.40565,80.84157,0.1,4.6,1.72,-0.097,8.2,0.16,5.82,0,0
11/4/2017,6.40565,80.84157,10.6,37.2,2.12,-0.019,8.2,0.16,5.82,0,0
11/7/2017,6.40565,80.84157,0.5,3.2,2.1,-0.141,8.2,0.16,5.82,0,0
11/12/2017,6.40565,80.84157,1.8,23.8,2.35,-0.063,8.2,0.16,5.82,0,0
11/25/2017,6.40565,80.84157,6.3,14.3,2.3,-0.31,8.2,0.16,5.82,0,0
12/1/2017,6.40565,80.84157,1.4,7.7,1.47,-0.094,8.2,0.16,5.82,0,0
5/11/2018,6.40565,80.84157,2.2,6,1.46,-0.047,8.2,0.16,5.82,0,0
10/5/2018,6.40565,80.84157,6.3,17.4,1.95,0.002,8.2,0.16,5.82,0,0
12/12/2018,6.40565,80.84157,36.9,107,2.99,0.446,8.2,0.16,5.82,0,0
12/16/2018,6.40565,80.84157,1.3,6.7,2.03,-0.036,8.2,0.16,5.82,0,0
12/24/2018,6.40565,80.84157,9.7,24.2,2.17,-0.005,8.2,0.16,5.82,0,0
10/6/2019,6.40565,80.84157,9.4,24.4,1.98,0.069,8.2,0.16,5.82,0,0
10/26/2019,6.40565,80.84157,0.3,5.6,1.08,-0.297,8.2,0.16,5.82,0,0
10/29/2019,6.40565,80.84157,0.5,5.9,1.09,-0.058,8.2,0.16,5.82,0,0
11/29/2019,6.40565,80.84157,101.3,259.3,4.51,1.444,8.2,0.16,5.82,1,2.58
11/30/2019,6.40565,80.84157,16.6,55.9,2.23,0.051,8.2,0.16,5.82,0,0
10/4/2020,6.40565,80.84157,42.3,104,3.49,0.678,8.2,0.16,5.82,0,0
11/2/2020,6.40565,80.84157,128.6,272.3,4.86,1.745,8.2,0.16,5.82,1,2.55
12/12/2020,6.40565,80.84157,0.2,5.7,2,-0.12,8.2,0.16,5.82,0,0
5/9/2021,6.40565,80.84157,1.2,7.2,2.08,-0.166,8.2,0.16,5.82,0,0
10/2/2021,6.40565,80.84157,119.7,374.8,6.11,1.997,8.2,0.16,5.82,1,3.71
10/26/2021,6.40565,80.84157,0.1,7.2,1.75,-0.081,8.2,0.16,5.82,0,0
12/24/2021,6.40565,80.84157,28,77.5,2.42,0.599,8.2,0.16,5.82,0,0
5/28/2022,6.40565,80.84157,2.4,5,1.57,-0.027,8.2,0.16,5.82,0,0
10/3/2022,6.40565,80.84157,0.6,4.9,1.18,-0.291,8.2,0.16,5.82,0,0
10/19/2022,6.40565,80.84157,1.1,5.7,2.11,-0.094,8.2,0.16,5.82,0,0
10/31/2022,6.40565,80.84157,5,16.8,2.4,-0.081,8.2,0.16,5.82,0,0
11/1/2022,6.40565,80.84157,97.1,262.4,4.36,1.412,8.2,0.16,5.82,1,2.37
11/11/2022,6.40565,80.84157,0.5,4.4,1.32,-0.222,8.2,0.16,5.82,0,0
11/13/2022,6.40565,80.84157,77.1,197.3,4.5,1.113,8.2,0.16,5.82,0,0
11/26/2022,6.40565,80.84157,3,6.4,1.47,-0.006,8.2,0.16,5.82,0,0
5/15/2023,6.40565,80.84157,0.2,25.3,1.57,-0.17,8.2,0.16,5.82,0,0
5/26/2023,6.40565,80.84157,98.5,230.9,4.37,1.406,8.2,0.16,5.82,0,0
11/6/2023,6.40565,80.84157,5.6,14.9,1.76,0.05,8.2,0.16,5.82,0,0
11/21/2023,6.40565,80.84157,1,13.8,2.05,-0.001,8.2,0.16,5.82,0,0
11/26/2023,6.40565,80.84157,1.8,7.2,1.94,-0.088,8.2,0.16,5.82,0,0
5/11/2024,6.40565,80.84157,0.2,4.9,0.65,-0.069,8.2,0.16,5.82,0,0
5/12/2024,6.40565,80.84157,41.4,87,2.36,0.483,8.2,0.16,5.82,0,0
11/8/2024,6.40565,80.84157,0.2,14.3,2.18,-0.046,8.2,0.16,5.82,0,0
12/15/2024,6.40565,80.84157,3.2,13.7,1.57,-0.208,8.2,0.16,5.82,0,0
10/9/2016,6.40559,79.76655,5.9,18.5,0.97,-0.08,45.5,3.82,2.11,0,0
10/21/2016,6.40559,79.76655,0,4.8,0.69,-0.329,45.5,3.82,2.11,0,0
11/16/2016,6.40559,79.76655,27.5,84.1,1.11,0.414,45.5,3.82,2.11,0,0
11/19/2016,6.40559,79.76655,6.1,16.5,0.49,0.009,45.5,3.82,2.11,0,0
5/21/2017,6.40559,79.76655,0.9,6.4,0.5,-0.015,45.5,3.82,2.11,0,0
5/30/2017,6.40559,79.76655,78.3,218.8,2.92,0.986,45.5,3.82,2.11,0,0
11/4/2017,6.40559,79.76655,1.7,3.8,0.78,-0.463,45.5,3.82,2.11,0,0
11/7/2017,6.40559,79.76655,15.7,44.1,1.2,0.107,45.5,3.82,2.11,0,0
11/12/2017,6.40559,79.76655,73,140.4,2.05,0.927,45.5,3.82,2.11,0,0
11/25/2017,6.40559,79.76655,1.8,11.2,0.8,-0.258,45.5,3.82,2.11,0,0
12/1/2017,6.40559,79.76655,59.3,170.3,2.01,0.697,45.5,3.82,2.11,0,0
5/11/2018,6.40559,79.76655,7.8,22,0.65,0.01,45.5,3.82,2.11,0,0
10/5/2018,6.40559,79.76655,0,1.5,0.45,-0.066,45.5,3.82,2.11,0,0
12/12/2018,6.40559,79.76655,0.8,4.8,1.06,-0.105,45.5,3.82,2.11,0,0
12/16/2018,6.40559,79.76655,0.9,6.5,0.71,0.046,45.5,3.82,2.11,0,0
12/24/2018,6.40559,79.76655,0,2.4,0.87,-0.26,45.5,3.82,2.11,0,0
10/6/2019,6.40559,79.76655,0.5,18.5,0.32,0.05,45.5,3.82,2.11,0,0
10/26/2019,6.40559,79.76655,6.3,17.6,0.69,0.013,45.5,3.82,2.11,0,0
10/29/2019,6.40559,79.76655,0,1.4,0.22,-0.142,45.5,3.82,2.11,0,0
11/29/2019,6.40559,79.76655,2.4,5.6,0.78,0.022,45.5,3.82,2.11,0,0
11/30/2019,6.40559,79.76655,3.8,14,0.55,-0.099,45.5,3.82,2.11,0,0
10/4/2020,6.40559,79.76655,1,10.8,0.86,-0.091,45.5,3.82,2.11,0,0
11/2/2020,6.40559,79.76655,2.4,8.4,0.44,-0.244,45.5,3.82,2.11,0,0
12/12/2020,6.40559,79.76655,0,10.9,0.74,0.067,45.5,3.82,2.11,0,0
5/9/2021,6.40559,79.76655,1.1,2.9,0.28,-0.205,45.5,3.82,2.11,0,0
10/2/2021,6.40559,79.76655,49.8,134,2.02,0.786,45.5,3.82,2.11,0,0
10/26/2021,6.40559,79.76655,7.9,14.4,0.61,-0.116,45.5,3.82,2.11,0,0
12/24/2021,6.40559,79.76655,4.8,13.4,0.91,-0.111,45.5,3.82,2.11,0,0
5/28/2022,6.40559,79.76655,1.4,7,0.63,-0.122,45.5,3.82,2.11,0,0
10/3/2022,6.40559,79.76655,0.7,4.4,0.58,-0.142,45.5,3.82,2.11,0,0
10/19/2022,6.40559,79.76655,0,0.8,0.28,-0.077,45.5,3.82,2.11,0,0
10/31/2022,6.40559,79.76655,2.6,7.4,0.58,-0.011,45.5,3.82,2.11,0,0
11/1/2022,6.40559,79.76655,2.9,7.5,0.54,-0.109,45.5,3.82,2.11,0,0
11/11/2022,6.40559,79.76655,72,132.5,2.18,1.068,45.5,3.82,2.11,0,0
11/13/2022,6.40559,79.76655,11.1,24,0.24,-0.009,45.5,3.82,2.11,0,0
11/26/2022,6.40559,79.76655,0.1,2.7,0.37,0.004,45.5,3.82,2.11,0,0
5/15/2023,6.40559,79.76655,12.2,31.2,1.34,0.057,45.5,3.82,2.11,0,0
5/26/2023,6.40559,79.76655,0.2,1.2,0.05,-0.206,45.5,3.82,2.11,0,0
11/6/2023,6.40559,79.76655,4.2,11.7,0.42,-0.122,45.5,3.82,2.11,0,0
11/21/2023,6.40559,79.76655,53.1,108.8,2.06,0.688,45.5,3.82,2.11,0,0
11/26/2023,6.40559,79.76655,79.2,241.8,3.65,1.406,45.5,3.82,2.11,1,1.97
5/11/2024,6.40559,79.76655,3,9.6,0.68,0.102,45.5,3.82,2.11,0,0
5/12/2024,6.40559,79.76655,2.6,6,0.74,0.038,45.5,3.82,2.11,0,0
11/8/2024,6.40559,79.76655,0,1.1,0.61,-0.203,45.5,3.82,2.11,0,0
12/15/2024,6.40559,79.76655,1.5,13.6,0.89,-0.255,45.5,3.82,2.11,0,0
10/9/2016,6.15102,79.93265,26.2,55.1,1.31,0.309,25.6,0.59,7.83,0,0
10/21/2016,6.15102,79.93265,10.9,29.8,0.84,-0.022,25.6,0.59,7.83,0,0
11/16/2016,6.15102,79.93265,55.4,150.5,2.24,0.818,25.6,0.59,7.83,0,0
11/19/2016,6.15102,79.93265,3.7,25.7,1.03,0.209,25.6,0.59,7.83,0,0
5/21/2017,6.15102,79.93265,1.9,7.3,0.98,-0.235,25.6,0.59,7.83,0,0
5/30/2017,6.15102,79.93265,0.9,5.9,0.65,-0.078,25.6,0.59,7.83,0,0
11/4/2017,6.15102,79.93265,15.5,47.7,0.7,-0.003,25.6,0.59,7.83,0,0
11/7/2017,6.15102,79.93265,12,27,0.58,0.235,25.6,0.59,7.83,0,0
11/12/2017,6.15102,79.93265,173.4,414.3,5.53,2.3,25.6,0.59,7.83,1,2.78
11/25/2017,6.15102,79.93265,0.4,1.9,0.84,-0.152,25.6,0.59,7.83,0,0
